11/10/2021 10:31,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,157.35,TRUE,162.75,18130.05,132.5,270,pe,50,TRUE,NIFTY21N1818200PE,18100.12
11/16/2021 9:32,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,132.3,TRUE,121.15,18091.1,121.5,-558,ce,50,TRUE,NIFTY21N1818050CE,18147.1
11/16/2021 11:56,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,133.8,TRUE,125.3,18060,126.15,-850,ce,100,TRUE,NIFTY21N1818000CE,18098.6
11/16/2021 13:09,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,112.85,TRUE,123.65,18084.95,105.75,540,ce,50,TRUE,NIFTY21N1818050CE,18119.2
11/16/2021 14:06,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,111.3,TRUE,124.6,18107.3,100.9,665,pe,50,TRUE,NIFTY21N1818150PE,18081.73
11/16/2021 15:14,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,122,TRUE,132.7,18028,110.75,535,pe,50,TRUE,NIFTY21N1818100PE,17992.07
11/17/2021 10:23,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,93.7,TRUE,105,17968.15,84.7,565,ce,50,TRUE,NIFTY21N1817950CE,18020.27
11/17/2021 11:45,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,106.1,TRUE,117.65,17997.6,100.75,578,pe,50,TRUE,NIFTY21N1818050PE,17955
11/18/2021 11:36,,,,,,live from here,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,70.45,TRUE,80.55,17753,57.5,505,pe,50,TRUE,NIFTY21N1817800PE,17716
11/18/2021 12:21,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,62.4,TRUE,72.55,17719.1,49.95,507,pe,50,TRUE,NIFTY21N1817750PE,17692.48
11/23/2021 11:28,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,140.25,TRUE,127.55,17381.6,129.15,-635,pe,50,TRUE,NIFTY21NOV17450PE,17354
11/24/2021 11:06,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,87.9,TRUE,96.5,17561.25,81.05,50,ce,50,TRUE,NIFTY21NOV17550CE,17600.52
11/24/2021 11:39,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21NOVFUT,FALSE,84.6,TRUE,93.25,17571.95,76.05,50,pe,50,TRUE,NIFTY21NOV17600PE,17548.93
11/26/2021 15:02,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21DECFUT,FALSE,185,TRUE,193.65,17120,170.8,433,pe,50,TRUE,NIFTY21D0217150PE,17079.37
12/2/2021 12:31,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21DECFUT,FALSE,34.35,TRUE,43.05,17311.5,29,435,ce,50,TRUE,NIFTY21D0217300CE,17370.25
12/2/2021 13:03,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21DECFUT,FALSE,39.7,TRUE,34.1,17331.1,34.25,-280,ce,50,TRUE,NIFTY21D0217300CE,17369.1
12/16/2021 14:03,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21DECFUT,FALSE,99.05,TRUE,108.35,17306,79.7,465,pe,50,TRUE,NIFTY21D1617350PE,17276.15
12/17/2021 13:30,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21DECFUT,FALSE,152.25,TRUE,160.95,17065.1,143.65,435,ce,50,TRUE,NIFTY21D2317050CE,17116.48
12/20/2021 12:20,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21DECFUT,FALSE,163.65,TRUE,173,16566.4,151.75,467,pe,50,TRUE,NIFTY21D2316600PE,16529.5
12/20/2021 15:00,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21DECFUT,FALSE,166.9,TRUE,177.1,16582.1,158.3,510,ce,50,TRUE,NIFTY21D2316550CE,16635.85
12/22/2021 12:01,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21DECFUT,FALSE,96.2,TRUE,104.85,16880.75,86.25,432,ce,50,TRUE,NIFTY21D2316850CE,16931.38
12/22/2021 12:14,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,option_sl,pnl,position,quantity,signal,strike,target
NFO:NIFTY21DECFUT,FALSE,108.15,TRUE,116.85,16906.05,98.7,435,pe,50,TRUE,NIFTY21D2316950PE,16878.37
