12/23/2021 12:37,,,,,,,,,,,,,,
NFO:NIFTY21DECFUT,FALSE,78.5,TRUE,87.3,17226.55,30-12-2021,70,390,pe,50,TRUE,NIFTY21DEC17300PE,strike_fin,17209.37
12/30/2021 12:48,,,,,,,,,,,,,NIFTY06JAN22P18005,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,strike_fin,target
NFO:NIFTY21DECFUT,FALSE,51.35,TRUE,43.75,17225.75,30-12-2021,43.85,-430,ce,50,TRUE,NIFTY21DEC17200CE,NIFTY06JAN22P17906,17257.25
12/30/2021 13:38,,,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,strike_fin,target
NFO:NIFTY21DECFUT,FALSE,36.6,TRUE,28.95,17228.5,30-12-2021,30.2,-433,pe,50,TRUE,NIFTY21DEC17250PE,NIFTY06JAN22P17906,17191.87
12/30/2021 14:54,,,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,strike_fin,target
NFO:NIFTY21DECFUT,FALSE,75.15,TRUE,61.8,17209,30-12-2021,62.35,-718,ce,50,TRUE,NIFTY21DEC17150CE,NIFTY06JAN22P18006,17250.02
12/31/2021 9:33,,,,,,,,,,,,,strike_fin,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,NIFTY06JAN22P17907,target
NFO:NIFTY22JANFUT,FALSE,144.65,TRUE,154.15,17330.5,31-12-2021,134.35,425,ce,50,TRUE,NIFTY2210617300CE,,17379.25
12/31/2021 9:48,,,,,,,,,,,,,strike_fin,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,NIFTY06JAN22P17907,target
NFO:NIFTY22JANFUT,FALSE,133.5,TRUE,123.45,17372.6,31-12-2021,123.85,-552,ce,50,TRUE,NIFTY2210617350CE,,17423.6
12/31/2021 11:36,,,,,,,,,,,,,strike_fin,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,NIFTY06JAN22P18007,target
NFO:NIFTY22JANFUT,FALSE,176.1,TRUE,167.55,17395,31-12-2021,168.2,-477,pe,50,TRUE,NIFTY2210617450PE,strike_fin,17375.5
12/31/2021 12:12,,,,,,,,,,,,,NIFTY06JAN22P17908,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,,target
NFO:NIFTY22JANFUT,FALSE,132.7,TRUE,125.9,17396.35,31-12-2021,126,-390,ce,50,TRUE,NIFTY2210617350CE,strike_fin,17441.85
1/3/2022 10:24,,,,,,,,,,,,,NIFTY06JAN22P17908,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,,target
NFO:NIFTY22JANFUT,FALSE,95.8,TRUE,103.45,17519.25,3/1/2022,90.35,333,ce,50,TRUE,NIFTY2210617500CE,strike_fin,17546.12
1/3/2022 11:15,,,,,,,,,,,,,NIFTY06JAN22P18008,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,strike_fin,target
NFO:NIFTY22JANFUT,FALSE,105.9,TRUE,114.25,17544.6,3/1/2022,102.25,367,ce,50,TRUE,NIFTY2210617500CE,NIFTY06JAN22P17909,17573.23
1/3/2022 12:36,,,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,strike_fin,target
NFO:NIFTY22JANFUT,FALSE,88,TRUE,98.15,17559,3/1/2022,81.2,965,ce,100,TRUE,NIFTY2210617550CE,NIFTY06JAN22P17909,17599.75
1/4/2022 12:46,,,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,strike_fin,target
NFO:NIFTY22JANFUT,FALSE,74.65,TRUE,68.65,17756,4/1/2022,69.15,10,ce,50,TRUE,NIFTY2210617750CE,NIFTY06JAN22P18009,17813.38
1/5/2022 10:49,,,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,strike_fin,target
NFO:NIFTY22JANFUT,FALSE,114.2,TRUE,123.55,17854.7,5/1/2022,100,417,pe,50,TRUE,NIFTY2210617900PE,NIFTY06JAN22P17900,17817.65
1/5/2022 11:51,,,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,strike_fin,target
NFO:NIFTY22JANFUT,FALSE,106.35,TRUE,98.3,17866.5,5/1/2022,98.55,-452,pe,50,TRUE,NIFTY2210617900PE,NIFTY06JAN22P17900,17841.9
1/5/2022 14:54,,,,,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,candle_sl,date,option_sl,pnl,position,quantity,signal,strike,strike_fin,target
NFO:NIFTY22JANFUT,FALSE,103.95,TRUE,113,17963.1,5/1/2022,87.55,402,pe,50,TRUE,NIFTY2210618000PE,NIFTY06JAN22P18000,17925.12
